player_id,short_name,nationality_name,poste,club_name,league_name,is_moroccan,overall_raw,pace,shooting,passing,dribbling,defending,physic,power_stamina,mentality_interceptions,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,overall,age,international_reputation,name_norm,pass_accuracy,duel_win_rate,pressings,carries,goal_ratio
0,L. Messi,Argentina,ATT,Paris Saint Germain,Ligue 1,0,91,0.8350515463917526,0.978021978021978,0.967741935483871,1.0,0.3777777777777777,0.7111111111111111,0.7368421052631579,0.449438202247191,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.6785714285714286,1.0,l. messi,0.8154,0.4462,1.0,1.0,0.039993275088763
1,K. Benzema,France,ATT,Real Madrid,La Liga,0,91,0.8247422680412371,0.9670329670329672,0.89247311827957,0.925531914893617,0.4333333333333333,0.8666666666666667,0.8631578947368421,0.4382022471910112,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.6428571428571428,0.75,k. benzema,0.8133,0.1429,0.12155317951603818,0.0376137015487994,0.03597257603993894
2,R. Lewandowski,Poland,ATT,FC Barcelona,La Liga,0,91,0.7731958762886598,1.0,0.8494623655913979,0.9148936170212766,0.4888888888888889,0.9222222222222224,0.7999999999999999,0.550561797752809,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.6071428571428572,1.0,r. lewandowski,0.7818,0.0679,0.09697992871881438,0.0311125679477724,0.03245624533388015
3,K. De Bruyne,Belgium,MIL,Manchester City,Premier League,0,91,0.7628865979381443,0.9670329670329672,1.0,0.925531914893617,0.7000000000000001,0.8555555555555556,0.936842105263158,0.7191011235955056,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.5357142857142856,0.75,k. de bruyne,0.7724,0.4216,0.0304,0.0092,0.052
4,K. Mbappé,France,ATT,Paris Saint Germain,Ligue 1,0,91,1.0,0.978021978021978,0.860215053763441,0.9787234042553192,0.4,0.8444444444444444,0.9157894736842104,0.4269662921348314,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.25,0.75,k. mbappe,0.8063,0.375,0.12380416432189076,0.08872135267284,0.03614354835952034
5,T. Courtois,Belgium,GKP,Real Madrid,La Liga,0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333332,0.9888888888888888,0.8064516129032259,0.9888888888888888,1.0,0.9777777777777776,0.5,0.75,t. courtois,0.6664,0.459,0.0009379103357718313,0.016689885000956,0.0828
6,M. Salah,Egypt,ATT,Liverpool,Premier League,0,90,0.9278350515463918,0.978021978021978,0.881720430107527,0.9574468085106382,0.5,0.8333333333333334,0.9157894736842104,0.6179775280898876,0.0,0.0,0.0,0.0,0.0,0.9777777777777776,0.5,0.75,m. salah,0.7971,0.1667,0.10448321140498963,0.036766915239422,0.042515116802589355
7,M. Salah,Egypt,ATT,Liverpool,Premier League,0,90,0.9278350515463918,0.978021978021978,0.881720430107527,0.9574468085106382,0.5,0.8333333333333334,0.9157894736842104,0.6179775280898876,0.0,0.0,0.0,0.0,0.0,0.9777777777777776,0.5,0.75,m. salah,1.0,0.2898,0.0011254924029262215,5.4631374798546805e-05,0.0449
8,M. Neuer,Germany,GKP,FC Bayern München,Bundesliga,0,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9666666666666668,0.977777777777778,0.967741935483871,0.977777777777778,0.9666666666666668,0.9555555555555556,0.7142857142857142,1.0,m. neuer,0.8364,0.459,0.00037516413430866026,0.0318227758201535,0.03636866191363589
9,Neymar Jr,Brazil,ATT,Paris Saint Germain,Ligue 1,0,89,0.8969072164948454,0.9120879120879122,0.913978494623656,0.9893617021276596,0.4111111111111111,0.6777777777777778,0.8315789473684211,0.4157303370786517,0.0,0.0,0.0,0.0,0.0,0.9555555555555556,0.5,1.0,neymar jr,0.72,0.2898,0.0266,0.0083,0.0449
10,Casemiro,Brazil,MIL,Manchester United,Premier League,0,89,0.6494845360824743,0.8021978021978022,0.8387096774193549,0.776595744680851,0.977777777777778,0.9888888888888888,0.9263157894736842,0.9887640449438202,0.0,0.0,0.0,0.0,0.0,0.9555555555555556,0.5,0.5,casemiro,0.7724,0.4216,0.0304,0.0092,0.052
11,J. Oblak,Slovenia,GKP,Atlético Madrid,La Liga,0,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9555555555555556,1.0,0.8494623655913979,0.9666666666666668,0.9888888888888888,0.9555555555555556,0.4642857142857142,1.0,j. oblak,0.5274,0.459,0.00037516413430866026,0.0110355377093064,0.0828
12,H. Kane,England,ATT,Tottenham Hotspur,Premier League,0,89,0.711340206185567,1.0,0.89247311827957,0.8829787234042553,0.5222222222222223,0.9111111111111112,0.8736842105263157,0.4943820224719101,0.0,0.0,0.0,0.0,0.0,0.9555555555555556,0.4285714285714286,0.75,h. kane,0.6987,0.0603,0.16075783155130358,0.0431587860908519,0.03319997492405946
13,V. van Dijk,Netherlands,DEF,Liverpool,Premier League,0,89,0.8350515463917526,0.6593406593406594,0.7634408602150539,0.7659574468085106,1.0,0.9555555555555556,0.7789473684210526,1.0,0.0,0.0,0.0,0.0,0.0,0.9555555555555556,0.5,0.75,v. van dijk,0.7788,0.3954,0.0231,0.009,0.0596
